datetime,open,high,low,close,volume,Close_time,Quote_asset_volume,Number_of_trades,Taker_buy_base_asset_volume,Taker_buy_quote_asset_volume,Ignore
2017-08-17,301.13,312.18,298.0,302.0,7030.71034,1503014399999,2154655.30035660,4522,6224.58999000,1908705.36853020,50579.87228839
2017-08-18,302.0,311.79,283.94,293.96,9537.84646,1503100799999,2858946.50935390,5658,7452.43542000,2240813.26122640,55329.57432378
2017-08-19,293.31,299.9,278.0,290.91,2146.19773,1503187199999,620022.58986170,1795,1537.97550000,444713.61220860,58005.17104565
2017-08-20,289.41,300.53,282.85,299.1,2510.13871,1503273599999,742847.89455990,2038,2186.68739000,647506.06202050,60299.06615403
2017-08-21,299.1,346.52,294.6,323.29,5219.44542,1503359999999,1689472.34121400,3925,4004.19967000,1297977.42311420,66203.84022245
2017-08-22,321.04,330.41,144.21,309.8,7956.35088,1503446399999,2454425.80331370,6577,4433.78132000,1364472.48833300,66821.52067468
2017-08-23,312.25,324.99,309.41,315.74,8665.72569,1503532799999,2753464.94504080,8540,2282.23633000,728206.91761490,76587.70953099
2017-08-24,315.74,328.04,314.01,323.42,6753.27192,1503619199999,2159417.11415370,6495,1901.90029000,610929.14716790,102226.34289434
2017-08-25,323.42,338.28,323.42,327.24,7125.96962,1503705599999,2354162.03829400,7452,2595.82561000,859314.68351840,106332.85796088
2017-08-26,327.24,335.44,323.41,330.79,4877.68521,1503791999999,1601994.37731660,4400,941.99655000,311132.26310030,92462.65806951
2017-08-27,332.18,348.13,330.73,348.13,4635.43715,1503878399999,1554477.35816030,4973,1166.20029000,392130.11519860,88406.05374074
2017-08-28,348.11,351.0,331.95,346.0,4279.1817,1503964799999,1463758.16910410,4526,1114.26279000,383473.98891030,82902.92984582
2017-08-29,347.0,377.6,346.0,374.7,3032.13425,1504051199999,1102069.62058090,3265,923.16784000,334768.81046930,85024.54473430
2017-08-30,374.7,393.71,362.05,385.93,4446.59608,1504137599999,1679526.21251150,4812,1285.37799000,487837.74475770,84593.83335425
2017-08-31,384.64,389.36,377.78,384.79,4435.86855,1504223999999,1704441.39426660,4574,1432.19381000,550808.61088400,82026.24194321
2017-09-01,386.44,394.39,383.18,388.46,4198.68434,1504310399999,1635227.61376610,4124,1564.05531000,609630.94977130,84919.76768269
2017-09-02,388.58,394.32,320.08,343.14,8240.32724,1504396799999,2904008.46138610,8217,2460.66776000,868487.28339190,87519.78442451
2017-09-03,343.56,367.28,320.08,341.77,5253.62211,1504483199999,1801702.61780290,6153,2240.91753000,767938.25217760,88087.12404857
2017-09-04,339.29,344.55,267.94,283.77,6737.81061,1504569599999,2002446.18180200,7403,2954.16805000,877011.10666470,77119.81932553
2017-09-05,286.81,321.52,235.55,312.09,8344.41924,1504655999999,2397490.91783860,8999,4312.97282000,1251958.99131160,82323.90789166
2017-09-06,313.29,336.34,312.09,335.0,5486.30988,1504742399999,1793962.85849940,7089,2183.65363000,713126.10171990,84763.06977404
2017-09-07,335.01,342.5,320.17,334.49,3103.89745,1504828799999,1027135.68695240,2635,1321.09841000,438034.17329640,82526.80962161
2017-09-08,334.49,335.1,272.0,302.99,4915.75693,1504915199999,1494309.88661630,3227,2306.94838000,698362.84939540,79848.59094656
2017-09-09,300.01,307.0,281.66,296.74,2740.58822,1505001599999,813750.35893590,1956,1755.91508000,520754.91457350,74712.70835115
2017-09-10,296.72,302.78,261.03,293.5,4156.45099,1505087999999,1181903.77219990,2494,2282.40311000,651266.45803050,72108.07698301
2017-09-11,293.51,304.98,285.21,297.3,4829.64647,1505174399999,1436811.81615690,3490,2412.24221000,718382.75216320,70010.65222023
2017-09-12,297.78,316.46,286.01,293.96,5176.31402,1505260799999,1573452.41245190,5279,2207.60465000,671349.25426970,70070.60153339
2017-09-13,293.93,294.5,257.05,276.91,6451.22836,1505347199999,1761080.89760690,4527,3264.55673000,890399.36959740,67083.54240680
2017-09-14,275.76,283.77,215.0,215.21,12601.95676,1505433599999,3110767.78056470,8166,4455.23882000,1100931.14542670,67291.11800887
2017-09-15,217.0,270.93,192.0,253.0,14223.8953,1505519999999,3319311.82673500,9198,5945.80760000,1386660.03680270,64252.91009631
2017-09-16,255.99,271.81,235.51,249.31,10362.06011,1505606399999,2647152.37237080,8859,3866.60141000,995005.32670450,63644.31507206
2017-09-17,249.32,264.39,239.02,257.55,4614.53337,1505692799999,1149704.29492940,5277,1442.00382000,360268.47386080,61101.13737514
2017-09-18,257.53,306.22,257.11,294.57,4125.97051,1505779199999,1182937.63357400,3440,2342.68408000,669740.52149880,60397.47132269
2017-09-19,296.0,300.0,277.41,284.0,1869.90852,1505865599999,535773.56520010,1896,789.82937000,226839.70654210,60344.73955280
2017-09-20,284.01,294.0,275.91,282.0,1060.56734,1505951999999,302739.73375310,1431,566.64637000,162290.41858720,60239.65020019
2017-09-21,285.1,287.0,252.1,257.0,1912.55583,1506038399999,516193.19706080,2751,579.77742000,156157.99546750,60609.52923576
2017-09-22,258.0,272.97,253.01,264.0,1464.5125,1506124799999,382962.21794300,2144,612.61937000,160401.28781390,63316.93684299
2017-09-23,259.99,286.23,255.11,285.93,2824.33572,1506211199999,788810.32442390,3901,841.43467000,233418.25689900,62508.86990743
2017-09-24,286.5,294.61,275.0,282.0,5575.54422,1506297599999,1582877.48713290,8022,1314.52754000,373569.55675800,62729.13499539
2017-09-25,282.0,299.0,281.34,294.42,5870.48035,1506383999999,1705551.99210180,9165,1950.58866000,567363.44908810,64184.33111866
2017-09-26,294.42,296.81,286.24,287.9,4566.92804,1506470399999,1332125.16543960,7329,1073.93969000,313528.64125620,71142.64377362
2017-09-27,289.91,313.0,286.13,309.74,5518.10382,1506556799999,1641896.87436510,8208,1276.45702000,380606.46578970,74084.88778690
2017-09-28,309.81,311.81,296.89,302.44,6600.90922,1506643199999,2009233.88871050,10534,2210.54916000,674345.92091910,82349.71463412
2017-09-29,302.44,303.0,274.0,292.22,11089.19902,1506729599999,3213725.09039790,13098,5176.62946000,1501566.86151520,81911.33521906
2017-09-30,292.62,307.49,292.22,304.36,4020.60795,1506815999999,1214456.83804620,8168,1645.11941000,497660.50805900,88439.42297005
2017-10-01,305.13,306.0,294.0,303.95,5060.05758,1506902399999,1518988.30299000,8900,1496.73509000,449595.11955910,96631.95210275
2017-10-02,303.94,305.0,295.0,296.5,3710.83747,1506988799999,1116501.22481220,7454,1398.52021000,421273.02438230,99017.43727554
2017-10-03,298.15,301.99,283.18,292.48,5546.85702,1507075199999,1622460.72677460,9327,2105.27684000,616540.73369680,92956.98811034
