datetime,open,high,low,close,volume,Close_time,Quote_asset_volume,Number_of_trades,Taker_buy_base_asset_volume,Taker_buy_quote_asset_volume,Ignore
2020-08-21,0.5397,0.5397,0.401,0.4314,2884153.28,1598054399999,1310914.06922700,4961,1025412.05000000,463787.65391900,0
2020-08-22,0.4317,0.4987,0.412,0.4712,4198278.44,1598140799999,1884510.77577600,6160,2164357.97000000,976460.09109700,0
2020-08-23,0.469,0.494,0.4523,0.4821,10755011.03,1598227199999,5093427.51330100,6995,5574173.47000000,2680189.89409700,0
2020-08-24,0.4821,0.5334,0.4792,0.5315,2243774.75,1598313599999,1122574.25145400,5012,953020.16000000,477250.50655400,0
2020-08-25,0.5323,0.5324,0.4478,0.4619,2608675.14,1598399999999,1260367.04015300,4474,1445308.64000000,694302.47296100,0
2020-08-26,0.4619,0.4983,0.4603,0.498,1831323.23,1598486399999,873545.69312600,3152,888777.81000000,424929.47759300,0
2020-08-27,0.4983,0.5182,0.4701,0.5046,3018123.53,1598572799999,1495515.88497400,5008,1485716.19000000,737346.32730700,0
2020-08-28,0.5033,0.57,0.5017,0.5662,3694034.11,1598659199999,1966380.49422900,7169,1687303.88000000,899340.57745100,0
2020-08-29,0.5662,0.5691,0.5165,0.538,2172028.16,1598745599999,1171935.67533700,4236,1020352.77000000,551243.10207200,0
2020-08-30,0.538,0.563,0.5222,0.5326,2697793.49,1598831999999,1461342.40601800,5548,1209966.99000000,655942.68095900,0
2020-08-31,0.5333,0.535,0.5078,0.5097,2704706.1,1598918399999,1404770.11407100,4296,1056091.25000000,548323.93012100,0
2020-09-01,0.5105,0.5106,0.4745,0.4808,3953475.68,1599004799999,1919272.45435800,7381,2042538.58000000,991713.29845900,0
2020-09-02,0.4806,0.4814,0.4185,0.4428,3695631.01,1599091199999,1662167.34901200,7733,1894118.29000000,847712.60809100,0
2020-09-03,0.4428,0.45,0.37,0.3778,4072613.69,1599177599999,1731063.57294000,8085,1690356.61000000,720734.09326200,0
