datetime,open,high,low,close,volume,Close_time,Quote_asset_volume,Number_of_trades,Taker_buy_base_asset_volume,Taker_buy_quote_asset_volume,Ignore
2019-04-26,0.00263,0.01052,0.00263,0.00545,2251813333.7,1556323199999,13165943.99965100,29783,992882444.00000000,5829864.14588800,0
2019-04-27,0.00543,0.00586,0.00516,0.00521,440339020.0,1556409599999,2401118.02948200,7591,196839741.60000000,1075229.90979500,0
2019-04-28,0.00521,0.00527,0.00434,0.00442,457183971.5,1556495999999,2218764.98535100,7463,174578789.20000000,851288.96241000,0
2019-04-29,0.00442,0.00456,0.00343,0.00347,520557584.6,1556582399999,2090178.57133000,7321,193985377.50000000,776881.25854200,0
2019-04-30,0.00346,0.00516,0.00346,0.00442,1165706893.8,1556668799999,5268819.86829800,14764,469118811.20000000,2125649.11569400,0
2019-05-01,0.00442,0.00464,0.00402,0.00432,650430750.0,1556755199999,2758219.84313700,7115,163705457.10000000,697929.70975100,0
2019-05-02,0.00432,0.00468,0.0041,0.00419,270118878.8,1556841599999,1168828.90371100,4636,112213722.60000000,489294.87487200,0
2019-05-03,0.00419,0.0044,0.00394,0.00423,279265819.7,1556927999999,1153772.20424300,3953,121483789.00000000,504597.15931200,0
2019-05-04,0.00423,0.00425,0.00381,0.00397,151436176.6,1557014399999,612281.14348300,2466,61798527.10000000,251222.46989100,0
2019-05-05,0.00396,0.00406,0.00359,0.00372,161357630.8,1557100799999,614191.03100000,2273,59748550.40000000,227302.23661600,0
2019-05-06,0.00371,0.00392,0.0035,0.00373,270695596.4,1557187199999,1003392.02054100,3541,102318108.20000000,382342.38616800,0
2019-05-07,0.00374,0.00385,0.00333,0.00336,172934704.9,1557273599999,631415.43591000,2434,74329403.60000000,273383.11667200,0
2019-05-08,0.00335,0.00348,0.00328,0.00333,154227974.6,1557359999999,519824.74236700,2002,60675700.30000000,205640.76329000,0
2019-05-09,0.00336,0.00341,0.00303,0.00314,211829251.9,1557446399999,675710.22655800,3251,95088492.60000000,303413.83706700,0
2019-05-10,0.00313,0.00388,0.00312,0.00378,408703745.6,1557532799999,1440180.24490300,6366,203679996.70000000,719063.88796100,0
2019-05-11,0.00379,0.00505,0.00371,0.0046,688249967.8,1557619199999,3001736.11750800,10258,350396962.10000000,1519985.22254800,0
2019-05-12,0.00462,0.00572,0.00444,0.0053,1166562752.9,1557705599999,6084005.27172600,17225,527929467.90000000,2748208.54797100,0
2019-05-13,0.00529,0.0092,0.00516,0.00868,2877309846.1,1557791999999,21808982.31624800,48430,1315183545.20000000,9961974.63420300,0
2019-05-14,0.00864,0.0112,0.00718,0.0078,3861464345.1,1557878399999,36235484.08388100,75510,1649191288.20000000,15471189.03882500,0
2019-05-15,0.00777,0.01,0.00705,0.00956,1803273014.2,1557964799999,16001266.44628000,36650,875488831.30000000,7802394.59000000,0
2019-05-16,0.00957,0.01205,0.00826,0.01087,2158935027.2,1558051199999,21866185.33634100,49125,1051087281.30000000,10672061.52314100,0
2019-05-17,0.01086,0.01507,0.00921,0.01455,4397262355.6,1558137599999,56503235.83923500,104019,2149144196.80000000,27722639.55183500,0
2019-05-18,0.01456,0.01489,0.01205,0.01235,1670915897.8,1558223999999,21896672.92224900,48700,843385872.30000000,11031631.13340600,0
2019-05-19,0.01235,0.02069,0.01226,0.02018,2909833092.6,1558310399999,50304463.97869000,108635,1505789350.90000000,25865299.95200900,0
2019-05-20,0.02016,0.035,0.01833,0.0295,4959586016.0,1558396799999,129015793.31595000,233512,2374306678.40000000,61650322.82521700,0
2019-05-21,0.02937,0.045,0.02438,0.02953,7216196145.9,1558483199999,254220541.19830300,435799,3489567900.70000000,123441636.87331600,0
2019-05-22,0.0295,0.0317,0.0205,0.02209,4411472529.9,1558569599999,107986180.26570900,223304,2094546193.20000000,51287577.66897300,0
2019-05-23,0.02215,0.03401,0.02143,0.02739,5742350972.3,1558655999999,164039791.90192500,229169,2826668792.50000000,80737692.39416500,0
2019-05-24,0.02736,0.0287,0.02265,0.02529,2439816666.4,1558742399999,61713452.33613800,111817,1128042818.20000000,28566094.67877200,0
2019-05-25,0.02527,0.02835,0.02302,0.02475,2092787378.6,1558828799999,53847308.50589400,80308,1001765033.10000000,25846950.59336800,0
2019-05-26,0.02482,0.02725,0.02305,0.02419,1308601539.2,1558915199999,33074414.20915000,56410,609348840.10000000,15432825.19832800,0
2019-05-27,0.02417,0.02478,0.02076,0.02235,1191302944.8,1559001599999,26878220.06548200,57119,535157204.10000000,12076665.28396400,0
2019-05-28,0.02232,0.0254,0.02102,0.0238,1527919636.6,1559087999999,35602220.79204100,64106,732599537.40000000,17112665.04447600,0
2019-05-29,0.02379,0.02487,0.02207,0.02212,860955448.6,1559174399999,19912545.76314300,36362,373837649.60000000,8676018.48041700,0
2019-05-30,0.02213,0.0233,0.01824,0.01972,1037590833.5,1559260799999,22266449.32570200,43837,453408840.20000000,9749496.86889100,0
2019-05-31,0.01972,0.02299,0.01939,0.02216,1075501624.0,1559347199999,23008223.81483100,43275,520481111.00000000,11164252.99592700,0
2019-06-01,0.02216,0.02289,0.02067,0.02104,963080818.8,1559433599999,20696050.74108100,39941,424063412.00000000,9115758.52842100,0
2019-06-02,0.02107,0.02221,0.01961,0.02012,514773376.3,1559519999999,10876792.90608400,22471,230881172.00000000,4895198.25713200,0
2019-06-03,0.02012,0.02099,0.01873,0.01911,515148781.0,1559606399999,10240488.39477400,20466,224444586.40000000,4474761.50138700,0
2019-06-04,0.01911,0.02198,0.0178,0.02139,1436021143.1,1559692799999,28557189.63905200,43810,692851149.40000000,13802206.50382800,0
2019-06-05,0.0214,0.02361,0.01954,0.02285,1684301208.5,1559779199999,35947863.62507600,53956,798331292.90000000,17068270.39631600,0
