datetime,open,high,low,close,volume,Close_time,Quote_asset_volume,Number_of_trades,Taker_buy_base_asset_volume,Taker_buy_quote_asset_volume,Ignore
2020-08-11,2.85,3.5208,2.8433,3.2985,1552384.78,1597190399999,4939148.93810700,13490,741770.79000000,2370192.68111900,0
2020-08-12,3.2985,3.9289,3.08,3.7558,1737042.95,1597276799999,6176153.72463800,21118,889133.50000000,3161944.26881700,0
2020-08-13,3.75,4.1387,3.5003,3.73,1685759.24,1597363199999,6446567.98049000,22922,716358.46000000,2755764.74800600,0
2020-08-14,3.7207,3.7676,3.321,3.4099,1474161.79,1597449599999,5205834.09597700,18581,578651.84000000,2048896.65546700,0
2020-08-15,3.4181,3.74,3.15,3.173,1070233.2,1597535999999,3658005.62220200,13903,439623.97000000,1510472.72956800,0
2020-08-16,3.173,3.4907,3.12,3.3885,668106.53,1597622399999,2227715.62781000,10659,267439.48000000,896424.21850500,0
2020-08-17,3.3885,3.3952,3.1,3.11,729413.64,1597708799999,2355329.78763000,8632,258191.89000000,833604.42981700,0
2020-08-18,3.11,3.7092,2.8105,3.3407,2713115.94,1597795199999,8885306.13322400,27415,1276599.28000000,4211377.73393200,0
2020-08-19,3.334,3.49,2.8,2.8868,1433243.76,1597881599999,4380403.48882400,17076,487245.28000000,1491949.57596300,0
2020-08-20,2.8962,3.445,2.8871,3.2038,1277827.32,1597967999999,4078240.33148200,14169,654313.24000000,2100682.28532600,0
2020-08-21,3.2038,3.24,2.89,2.9317,1131895.9,1598054399999,3480342.67494000,12957,435955.04000000,1340925.25472600,0
2020-08-22,2.9213,3.2,2.7431,3.0126,1169417.78,1598140799999,3433997.19373600,10427,535610.79000000,1579335.77989600,0
2020-08-23,3.0224,3.4,3.0014,3.25,1198036.69,1598227199999,3846250.69637000,11455,701976.44000000,2259165.67539900,0
2020-08-24,3.2658,3.62,3.21,3.3405,1315196.06,1598313599999,4504839.41721800,15317,634212.19000000,2181573.74310800,0
2020-08-25,3.3406,3.3654,3.0001,3.25,1149187.37,1598399999999,3629890.75795400,14226,477028.87000000,1506233.26004600,0
2020-08-26,3.2576,3.7999,3.1809,3.5684,2290030.56,1598486399999,8065581.23932100,23980,1256407.83000000,4427331.46824800,0
2020-08-27,3.5557,3.8575,3.2434,3.4501,2412974.8,1598572799999,8578461.96452700,25784,1158014.83000000,4141258.62126200,0
2020-08-28,3.4503,4.3091,3.4503,4.0063,2581936.84,1598659199999,10089370.36535600,30430,1416811.61000000,5532658.68714100,0
2020-08-29,4.007,4.1121,3.7748,3.9535,1342844.2,1598745599999,5290923.08962500,19319,589471.19000000,2328966.08074700,0
2020-08-30,3.9531,4.7117,3.9,4.4309,1815681.99,1598831999999,7967065.16831300,26712,864714.97000000,3787277.37847900,0
2020-08-31,4.4127,4.8865,4.1,4.7435,1497129.12,1598918399999,6664671.74724200,23396,829785.03000000,3715511.86280800,0
2020-09-01,4.7432,4.9475,4.3,4.3397,1267574.76,1599004799999,5871722.63744100,20174,626210.98000000,2914616.45919400,0
2020-09-02,4.3213,4.3506,3.66,4.17,2002058.36,1599091199999,8136932.35262900,25545,872236.99000000,3553812.07120700,0
2020-09-03,4.17,4.459,3.4772,3.5051,3275612.26,1599177599999,12941589.82447800,37166,1415415.57000000,5628686.60808800,0
2020-09-04,3.5062,3.8346,3.1739,3.5301,2052197.24,1599263999999,7262296.37115600,23918,892868.07000000,3167604.52048200,0
2020-09-05,3.5301,3.6637,2.0926,2.6052,4426267.38,1599350399999,11872722.47996600,36221,1667142.80000000,4417379.50831400,0
